content	x	y	w	h
,	1698	741	6	25
y	1711	740	11	25
e	1727	740	10	25
a	1739	740	7	25
r	1747	740	7	25
s	1757	740	8	25
a	1791	739	6	25
d	1825	739	7	25
o	1835	739	8	25
r	1844	738	9	25
e	1857	738	10	25
,	1867	738	6	25
n	1341	774	10	25
o	1354	774	9	25
b	1365	774	8	25
.	1376	774	6	25
.	1384	774	6	25
.	1392	774	6	25
.	1400	773	6	25
.	1408	773	6	25
.	1415	773	6	25
.	1422	773	6	25
.	1431	773	6	25
.	1436	773	6	25
.	1452	773	6	25
.	1460	772	6	25
.	1467	772	6	25
.	1475	772	6	25
.	1483	772	6	25
l	1491	772	6	25
e	1499	772	6	25
r	1507	772	5	25
j	1537	771	8	25
o	1547	771	8	25
y	1557	771	9	25
s	1569	771	10	25
a	1605	770	6	25
-	1626	770	6	25
b	1637	770	10	25
o	1650	769	9	25
v	1661	769	9	25
e	1673	769	10	25
.	1686	769	6	25
j	1751	768	6	25
o	1758	768	7	25
y	1767	768	9	25
s	1780	767	10	25
a	1798	767	6	25
-	1808	767	6	25
b	1814	767	10	25
o	1827	767	10	25
v	1840	766	10	25
e	1853	766	10	25
,	1865	766	6	25
-	1737	814	3	14
-	1762	815	3	14
2	1804	815	3	14
e	252	940	10	23
v	264	939	10	23
-	282	939	7	23
e	300	938	6	23
r	307	938	6	23
l	348	937	6	23
a	354	937	8	23
s	365	937	9	23
t	375	937	8	23
-	390	936	7	23
i	405	935	6	23
n	411	935	9	23
g	423	935	13	23
y	443	935	12	23
e	458	934	10	23
a	469	934	9	23
r	481	934	9	23
s	490	934	9	23
a	510	933	7	23
-	527	932	7	23
d	542	932	10	23
o	555	932	9	23
r	565	932	9	23
e	576	931	10	23
,	587	931	7	23
.	594	931	7	23
.	602	930	7	23
.	609	930	7	23
.	616	930	7	23
.	623	930	7	23
.	631	930	7	23
.	640	929	7	23
.	647	929	7	23
.	654	929	7	23
t	254	966	6	25
h	261	965	7	25
o	271	965	9	25
u	284	965	9	25
s	295	965	8	25
-	303	965	6	25
a	313	965	8	25
n	323	964	9	25
d	335	964	10	25
p	357	964	8	25
r	368	964	7	25
e	378	964	8	25
-	387	963	6	25
c	396	963	8	25
i	407	963	7	25
o	415	963	7	25
u	424	963	9	25
s	437	963	10	25
g	456	962	8	25
i	467	962	6	25
f	475	962	6	25
t	483	962	6	25
s	491	962	6	25
b	507	962	10	25
e	520	961	10	25
-	540	961	6	25
l	553	961	6	25
o	560	961	7	25
w	571	961	7	25
,	587	960	6	25
.	595	960	6	25
.	602	960	6	25
.	610	960	6	25
.	618	960	6	25
.	626	960	6	25
.	634	960	6	25
l	1399	921	5	21
a	1405	921	7	21
s	1416	921	8	21
t	1426	921	7	21
n	1399	947	9	23
o	1411	947	9	23
b	1423	947	9	23
-	1478	920	5	21
i	1508	920	5	21
n	1514	920	7	21
g	1525	919	10	21
y	1545	919	10	21
e	1559	919	8	21
r	1569	919	7	21
s	1579	919	8	21
a	1612	918	5	21
-	1638	918	5	21
d	1658	917	8	21
o	1669	917	8	21
r	1681	917	7	21
e	1690	917	7	21
,	1700	917	5	21
y	1721	916	10	21
e	1735	916	9	21
a	1746	916	8	21
r	1758	916	7	21
s	1767	916	7	21
a	1786	915	5	21
-	1808	915	5	21
d	1824	915	11	21
o	1839	914	8	21
r	1848	914	8	21
e	1859	914	8	21
.	1869	914	5	21
-	1479	946	6	23
l	1510	946	8	23
e	1520	946	6	23
r	1528	945	5	23
j	1550	945	5	23
o	1556	945	7	23
y	1567	945	9	23
s	1579	945	9	23
a	1614	944	6	23
-	1640	944	6	23
b	1660	943	9	23
o	1672	943	9	23
v	1684	943	10	23
e	1698	943	11	23
,	1710	943	6	23
j	1734	942	6	23
o	1741	942	6	23
y	1750	942	8	23
s	1761	942	9	23
a	1782	941	6	23
-	1808	941	6	23
b	1821	941	9	23
o	1833	941	10	23
v	1847	940	10	23
e	1860	940	9	23
.	1871	940	6	23
.	1078	923	5	22
.	1084	922	5	22
.	1094	922	5	22
.	1101	922	5	22
.	1110	922	5	22
.	1117	923	5	22
.	1124	923	5	22
.	1130	923	5	22
t	1140	923	5	22
h	1146	922	7	22
r	1157	922	8	22
o	1168	922	9	22
u	1179	922	9	22
g	1193	923	9	22
h	1203	923	7	22
e	1226	922	8	22
v	1237	922	9	22
-	1257	922	5	22
e	1282	922	7	22
r	1290	922	7	22
.	1125	950	6	25
.	1133	950	6	25
A	1142	950	10	25
n	1155	949	10	25
d	1168	949	10	25
h	1225	948	10	25
o	1238	948	10	25
p	1251	948	10	25
e	1264	948	10	25
o	1283	947	8	25
f	1294	947	7	25
S	695	998	21	40
A	719	997	22	40
C	748	997	22	40
R	772	996	22	40
E	801	996	22	40
D	826	996	21	40
R	886	995	24	40
E	916	994	22	40
S	940	994	23	40
T	968	993	23	40
.	991	993	12	40
L	1044	992	12	40
.	1064	992	12	40
M	1109	991	12	40
.	1142	991	12	40
O	1219	989	21	40
r	1246	989	17	40
i	1265	989	12	40
g	1278	988	12	40
i	1294	988	12	40
n	1304	988	16	40
a	1328	988	17	40
l	1346	987	14	40
.	1355	987	12	40
“	885	1039	7	27
S	903	1038	8	27
o	914	1038	8	27
l	925	1038	8	27
e	935	1038	6	27
m	940	1038	11	27
n	958	1037	16	27
S	987	1037	8	27
o	997	1037	10	27
u	1011	1037	10	27
n	1022	1036	10	27
d	1035	1036	11	27
.	1046	1036	7	27
P	1077	1036	11	27
s	1091	1035	11	27
.	1102	1035	7	27
9	1132	1035	8	27
2	1143	1034	9	27
–	1161	1034	7	27
2	1177	1034	7	27
.	1189	1034	7	27
I	234	1051	7	27
s	243	1051	6	27
a	251	1051	8	27
a	262	1050	8	27
c	273	1050	8	27
W	288	1050	17	27
a	312	1050	13	27
t	327	1049	6	27
t	333	1049	6	27
s	341	1049	6	27
1	360	1049	8	27
7	370	1049	9	27
1	382	1049	8	27
9	393	1048	9	27
.	402	1048	7	27
K	415	1048	16	27
e	437	1048	10	27
y	447	1047	7	27
o	466	1047	8	27
f	477	1047	9	27
F	495	1047	7	27
M	521	1046	11	27
a	536	1046	9	27
j	548	1046	8	27
o	557	1046	6	27
r	565	1046	6	27
.	576	1045	7	27
W	1685	1026	7	27
.	1704	1026	7	27
D	1721	1025	7	27
.	1735	1025	7	27
J	1757	1025	7	27
o	1766	1025	8	27
n	1777	1024	8	27
e	1788	1024	8	27
s	1799	1024	8	27
.	1808	1024	7	27
1	1827	1024	7	27
8	1836	1024	8	27
6	1847	1023	8	27
9	1858	1023	8	27
.	1869	1023	7	27
S	282	1200	9	22
w	293	1200	10	22
e	308	1200	11	22
e	321	1200	9	22
t	333	1199	8	22
i	347	1199	7	22
s	356	1199	7	22
t	383	1199	5	22
h	388	1198	8	22
e	401	1198	10	22
d	420	1198	9	22
a	432	1197	8	22
y	443	1197	9	22
o	462	1196	8	22
f	473	1196	9	22
s	506	1196	7	22
a	515	1195	7	22
-	528	1195	5	22
c	535	1195	8	22
r	545	1195	7	22
e	555	1195	9	22
d	567	1195	9	22
r	584	1194	8	22
e	595	1194	8	22
s	605	1194	7	22
t	614	1194	7	22
,	622	1194	5	22
N	635	1194	12	22
o	651	1193	12	22
m	667	1193	16	22
o	690	1193	11	22
r	701	1193	7	22
-	712	1192	5	22
t	721	1192	5	22
a	727	1192	7	22
l	738	1192	8	22
c	756	1191	9	22
a	768	1190	8	22
r	779	1190	9	22
e	791	1190	8	22
s	805	1190	7	22
h	813	1190	9	22
a	827	1190	9	22
l	839	1189	7	22
l	847	1189	5	22
f	857	1189	5	22
i	863	1189	5	22
l	870	1189	5	22
l	877	1189	5	22
m	883	1189	16	22
y	904	1188	15	22
b	927	1188	8	22
r	937	1188	9	22
e	950	1188	8	22
a	959	1187	7	22
s	970	1187	8	22
t	980	1187	7	22
;	988	1187	5	22
O	1001	1187	11	22
h	1015	1187	11	22
,	1031	1186	5	22
m	1038	1186	15	22
a	1060	1186	13	22
y	1074	1185	8	22
m	1086	1184	16	22
y	1107	1184	16	22
h	1127	1184	11	22
e	1142	1184	9	22
a	1154	1183	7	22
r	1163	1183	8	22
t	1173	1183	7	22
i	1185	1183	5	22
n	1192	1183	5	22
t	1234	1182	5	22
u	1240	1182	7	22
n	1250	1182	9	22
e	1263	1182	11	22
b	1287	1181	10	22
e	1300	1181	11	22
f	1331	1181	8	22
o	1341	1180	7	22
u	1351	1180	9	22
n	1363	1180	9	22
d	1375	1180	8	22
,	1388	1179	5	22
l	1400	1178	3	22
i	1405	1178	4	22
k	1410	1178	7	22
e	1422	1178	11	22
D	1456	1178	12	22
a	1472	1177	12	22
-	1494	1177	5	22
v	1506	1177	7	22
i	1515	1177	8	22
d	1525	1176	7	22
'	1537	1176	5	22
s	1544	1176	5	22
h	1564	1176	11	22
a	1579	1176	9	22
r	1591	1175	7	22
p	1600	1175	8	22
o	1627	1175	9	22
f	1639	1175	9	22
s	1695	1174	7	22
o	1704	1173	7	22
l	1715	1172	9	22
-	1730	1172	5	22
e	1745	1172	9	22
m	1755	1172	11	22
n	1772	1172	14	22
s	1803	1171	7	22
o	1811	1171	8	22
u	1822	1171	9	22
n	1833	1171	10	22
d	1848	1170	12	22
.	1861	1170	5	22
S	285	1340	9	22
w	296	1340	11	22
e	315	1340	10	22
e	325	1339	8	22
t	336	1339	9	22
i	353	1339	4	22
s	359	1339	5	22
t	379	1339	5	22
h	385	1339	8	22
e	397	1338	11	22
d	416	1338	9	22
a	428	1338	9	22
y	440	1337	8	22
o	461	1336	7	22
f	470	1336	7	22
s	503	1336	7	22
a	512	1336	7	22
-	524	1335	5	22
c	532	1335	7	22
r	541	1335	8	22
e	553	1335	8	22
d	564	1335	9	22
r	583	1334	8	22
e	594	1334	8	22
s	604	1334	7	22
t	613	1334	7	22
,	621	1334	5	22
N	636	1334	12	22
o	652	1333	12	22
m	669	1333	15	22
o	689	1333	11	22
r	702	1333	9	22
-	713	1332	5	22
t	722	1332	5	22
a	728	1332	7	22
l	739	1332	8	22
c	756	1331	7	22
a	764	1331	8	22
r	775	1330	9	22
e	787	1330	9	22
s	804	1330	7	22
h	812	1330	9	22
a	826	1330	9	22
l	838	1329	7	22
l	846	1329	5	22
f	860	1329	5	22
i	867	1329	5	22
l	874	1329	5	22
l	881	1329	5	22
m	893	1328	14	22
y	911	1328	14	22
b	935	1328	8	22
r	946	1328	9	22
e	958	1327	7	22
a	967	1327	7	22
s	978	1327	8	22
t	988	1327	7	22
;	996	1327	5	22
O	1009	1327	12	22
h	1025	1326	12	22
,	1040	1326	5	22
m	1050	1326	16	22
a	1073	1325	12	22
y	1086	1324	9	22
m	1099	1324	15	22
y	1119	1324	16	22
h	1138	1324	11	22
e	1152	1323	9	22
a	1165	1323	8	22
r	1174	1323	7	22
t	1183	1323	7	22
i	1198	1323	5	22
n	1205	1323	5	22
t	1225	1322	7	22
u	1234	1322	7	22
n	1244	1322	9	22
e	1257	1322	11	22
b	1280	1321	11	22
e	1294	1321	11	22
f	1332	1321	5	22
o	1337	1320	7	22
u	1348	1320	9	22
n	1359	1320	9	22
d	1372	1320	11	22
,	1387	1319	5	22
l	1401	1318	5	22
i	1407	1318	5	22
k	1413	1318	8	22
e	1425	1318	11	22
D	1459	1318	13	22
a	1476	1317	12	22
-	1497	1317	5	22
v	1511	1317	9	22
i	1524	1317	7	22
d	1532	1316	5	22
'	1541	1316	5	22
s	1550	1316	5	22
h	1563	1316	11	22
a	1578	1316	9	22
r	1588	1315	7	22
p	1597	1315	7	22
o	1625	1315	8	22
f	1636	1315	8	22
s	1689	1314	7	22
o	1698	1314	8	22
l	1710	1313	8	22
-	1725	1312	5	22
e	1740	1312	8	22
m	1749	1312	11	22
n	1766	1312	15	22
s	1806	1311	8	22
o	1816	1311	8	22
u	1828	1311	10	22
n	1841	1310	8	22
d	1852	1310	9	22
.	1865	1310	5	22
B	644	1356	21	50
E	652	1357	45	53
T	730	1365	47	53
E	718	1364	14	50
a	28	1409	10	24
t	37	1407	13	25
t	57	1407	5	23
h	59	1406	5	23
e	61	1406	5	23
b	73	1402	9	24
o	82	1401	7	24
u	86	1401	8	24
n	93	1400	8	24
d	101	1399	7	24
l	106	1398	6	24
e	110	1398	7	24
s	115	1397	7	24
s	120	1396	6	24
g	125	1396	6	24
r	130	1395	6	24
a	134	1394	7	24
z	140	1393	8	24
e	145	1393	5	23
E	935	1386	12	50
T	1180	1410	13	50
h	1191	1411	11	49
i	1196	1412	16	50
s	1210	1413	13	50
e	1225	1414	13	50
d	1235	1416	13	50
i	1246	1417	11	49
t	1251	1417	11	49
i	1260	1418	13	50
o	1270	1419	13	50
n	1280	1420	13	50
o	1299	1422	13	50
f	1309	1423	13	50
t	1319	1424	18	50
h	1334	1425	13	50
e	1344	1426	13	50
S	1363	1428	17	50
a	1379	1430	15	50
c	1391	1431	11	49
s	1397	1431	8	49
a	14	1444	9	22
n	22	1442	8	22
d	26	1441	7	22
p	35	1439	9	22
r	42	1438	9	22
e	48	1437	10	22
c	56	1435	9	22
i	64	1434	8	22
o	68	1433	8	22
u	74	1431	9	22
s	81	1429	9	22
g	89	1428	7	22
i	95	1427	8	22
f	99	1427	6	21
t	101	1426	9	22
s	107	1424	7	22
b	124	1421	9	22
e	130	1420	9	22
h	138	1417	10	22
,	149	1415	9	22
d	13	1480	9	23
e	20	1479	8	23
n	25	1478	8	23
t	31	1477	9	23
o	40	1475	7	23
f	45	1474	7	23
t	53	1473	9	23
h	61	1472	8	23
e	65	1471	8	23
C	76	1468	9	23
h	83	1467	9	23
a	90	1465	9	23
t	98	1464	7	23
t	101	1464	7	23
a	106	1463	7	23
h	110	1462	8	23
o	117	1461	8	23
o	122	1460	8	23
c	129	1459	8	23
h	133	1458	8	23
e	139	1455	11	24
s	150	1454	12	24
r	7	1510	9	21
e	11	1508	10	21
p	22	1506	11	22
u	27	1504	11	22
b	36	1503	10	21
l	44	1501	8	21
i	47	1501	7	21
s	49	1500	9	21
h	55	1499	10	21
e	63	1497	9	21
d	67	1496	8	21
i	77	1493	8	21
n	81	1492	9	21
d	93	1490	7	21
i	96	1490	7	21
f	99	1489	10	21
f	106	1487	8	21
e	110	1486	8	21
r	115	1486	8	21
e	118	1485	8	21
n	124	1483	9	21
t	129	1482	8	21
b	138	1479	8	21
a	142	1479	8	21
n	146	1478	9	21
k	153	1476	9	21
7	9	1531	10	22
t	30	1526	8	22
r	34	1526	9	22
i	41	1524	9	22
e	46	1523	9	22
s	52	1522	10	22
,	55	1521	10	22
a	66	1519	10	22
n	73	1517	10	22
d	79	1515	8	22
h	90	1513	10	22
a	98	1512	9	22
s	102	1511	8	22
a	113	1508	10	22
l	121	1507	8	22
a	125	1506	8	22
r	131	1505	9	22
g	136	1503	8	22
e	140	1502	9	22
a	153	1501	6	21
n	154	1499	7	22
d	158	1498	8	22
T	247	1459	7	19
h	257	1459	8	19
i	269	1458	7	19
s	278	1458	6	19
t	293	1458	7	19
u	303	1458	7	19
n	312	1458	9	19
e	325	1457	11	19
i	346	1457	6	19
s	354	1457	6	19
c	370	1457	9	19
o	383	1457	8	19
