x	y	w	h	content	
492	1383	29	1	ae	
548	1382	4	1	ays	
634	1379	43	11	=o	
682	1372	107	25	a	
843	1379	54	2	Seonee	
431	1412	18	17	5.	
475	1412	121	17	Perfection’s	
605	1409	113	23	heightmay	
728	1408	4	16	1	
760	1408	73	18	ascend,	
846	1408	38	16	And	
893	1408	35	16	feel	
939	1412	31	16	my	
980	1407	39	17	soul	
1030	1406	92	17	dissolved	
1142	1406	18	16	in	
1170	1404	47	18	love;	
1107	1429	34	14	~~	
434	1556	19	16	J.	
468	1555	101	19	PilReese,	
583	1546	100	30	composed	
697	1554	35	17	this	
742	1557	42	14	tune	
794	1554	27	16	for	
831	1553	30	16	the	
870	1553	35	16	2nd	
916	1553	89	20	appendix	
1014	1552	17	16	of	
1041	1552	30	16	the	
1081	1550	84	18	‘‘Sacred	
1176	1549	64	22	Harp”’	
1252	1551	18	15	in	
1282	1549	49	17	1859.	
1359	1547	28	17	He	
1396	1547	34	17	has	
1439	1552	10	11	a	
1459	1544	69	17	‘‘note’’	
1536	1545	18	14	at	
1563	1541	30	17	the	
1599	1539	80	20	heading	
1689	1538	18	16	of	
1716	1537	36	16	this	
1761	1540	44	14	tune	
1814	1537	46	16	which	
1862	1537	36	16	is	
1906	1542	21	11	as	
1937	1536	75	17	follows:	
388	1581	82	19	meeting	
480	1578	54	22	Song;	
542	1579	37	16	alto	
589	1578	100	21	composed	
696	1579	24	20	by	
729	1579	19	16	S.	
761	1578	24	16	M.	
795	1578	82	18	Denson,	
891	1577	48	16	1911.	
965	1576	38	16	The	
1013	1579	43	13	tune	
1066	1581	39	11	now	
1113	1575	63	17	stands	
1186	1574	42	17	with	
1238	1574	24	17	all	
1272	1574	18	16	of	
1300	1575	23	15	its	
1332	1577	64	12	verses	
1403	1576	21	12	as	
1433	1571	12	15	it	
1454	1574	38	11	was	
1501	1564	95	24	originally	
1606	1561	100	22	composed	
1715	1561	24	21	by	
1749	1561	49	16	Prof.	
1810	1561	68	16	Reese.	
